"response","fixed1","fixed2","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic","fixed1.coef","fixed2.coef","int.coef"
"R_auto","PotentialEvapotranspiration","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.000138,14,0.7702,0.9464,9.068,0.0119,0.0015,NA
"R_auto_root","PotentialEvapotranspiration","map","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.6017,54,0.01878,0.8714,1.548,NA,NA,NA
"R_auto","PotentialEvapotranspiration","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.002521,22,0.5414,0.9041,5.069,0.0066,-0.0742,NA
"R_auto_root","PotentialEvapotranspiration","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.004149,58,0.3113,0.8634,2.475,0.0018,0.0221,-1e-04
"R_auto","PotentialEvapotranspiration","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.004197,22,0.5152,0.909,4.472,0.0144,0.0311,NA
"R_auto_root","PotentialEvapotranspiration","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.04035,58,0.1735,0.8729,2.138,0.0014,0.0187,NA
"R_auto","PotentialEvapotranspiration","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0002726,22,0.6867,0.8895,4.385,0.1495,3e-04,0
"R_auto_root","PotentialEvapotranspiration","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.4341,58,0.02899,0.8785,4.053,NA,NA,NA
"R_auto","PotentialEvapotranspiration","Aridity","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,4.751e-05,22,0.7392,0.9258,2.256,-0.0016,-0.0011,0
"R_auto_root","PotentialEvapotranspiration","Aridity","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.4341,58,0.02899,0.8785,2.555,NA,NA,NA
"R_auto","PotentialEvapotranspiration","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0007201,22,0.6571,0.8979,2.252,0.0297,80.2166,-0.0523
"R_auto_root","PotentialEvapotranspiration","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.4341,58,0.02899,0.8785,4.839,NA,NA,NA
"R_auto","VapourPressureDeficit","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.057e-05,14,0.8136,0.9467,10.4,1.5971,0.4613,NA
"R_auto_root","VapourPressureDeficit","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.03746,46,0.2073,0.8551,2.746,1.1546,0.0866,NA
"R_auto","VapourPressureDeficit","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,8.565e-05,14,0.7889,0.9414,12.12,14.0331,0.0017,NA
"R_auto_root","VapourPressureDeficit","map","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.644,54,0.01668,0.8719,2.693,NA,NA,NA
"R_auto","VapourPressureDeficit","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.002947,22,0.5371,0.9038,5.059,5.4528,-0.0864,NA
"R_auto_root","VapourPressureDeficit","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0004946,58,0.4046,0.859,7.717,4.3393,0.0248,-0.11
"R_auto","VapourPressureDeficit","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.006483,22,0.4991,0.9061,4.505,15.9176,0.039,NA
"R_auto_root","VapourPressureDeficit","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.03518,58,0.1727,0.8717,0.5643,1.6092,0.0195,NA
"R_auto","VapourPressureDeficit","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0001181,22,0.7333,0.8974,7,190.9734,2e-04,-3e-04
"R_auto_root","VapourPressureDeficit","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.4494,58,0.02827,0.8789,4.669,NA,NA,NA
"R_auto","VapourPressureDeficit","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.001356,22,0.5944,0.9075,0.5624,18.1304,4e-04,NA
"R_auto_root","VapourPressureDeficit","Aridity","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.4494,58,0.02827,0.8789,0.06829,NA,NA,NA
"R_auto","VapourPressureDeficit","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0007201,22,0.6571,0.8979,2.252,80.2166,0.0297,-0.0523
"R_auto_root","VapourPressureDeficit","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.4494,58,0.02827,0.8789,4.839,NA,NA,NA
