"X","site_plot","citation.ID","stand.age","measurement.ID","sites.sitename","plot.name","dominant.life.form","dominant.veg","variable.name.x","date.x","start.date.x","end.date.x","ANPP_canopy","min.dbh","required.citations","ForC.investigator","country","lat","lon","masl","mat","map","geographic.area","biogeog","Koeppen","FAO.ecozone","plot.area","year.establishment.oldest.trees","regrowth.type","regrowth.year","distmrs.type","distmrs.yr","managed","disturbed","history.no.info","biomes","variable.name.y","date.y","start.date.y","end.date.y","ANPP_woody_stem","optional","AnnualMeanTemp","MeanDiurnalRange","Isothermality","TempSeasonality","MaxTWarmestMonth","MinTColdestMonth","TempRangeAnnual","MeanTWetQ","MeanTDryQ","MeanTWarmQ","MeanTColdQ","AnnualPre","PreWetMonth","PreDryMonth","PreSeasonality","PreWetQ","PreDryQ","PreWarmQ","PreColdQ","CloudCover","AnnualFrostDays","AnnualPET","AnnualWetDays"
113,"Mount Jefferson 4 unmanaged","Luyssaert_2007_cbob",262,9831,"Mount Jefferson 4","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,0.89,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.6882,-121.865,1177,NA,NA,"66","Nearctic","Csb","Temperate mountain system","NAC","1739","Initiation of post-disturbance cohort (natural)","1739","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","2001",NA,NA,0.71,TRUE,5.1,11.1,0.39,57.79,22.1,-5.9,28,-1.1,12.8,12.9,-1.6,1868,312,26,63,886,133,137,828,68.5766081871345,188.421403508772,733.973684210526,125.840263157895
114,"Mount Jefferson 5 unmanaged","Luyssaert_2007_cbob",304,9843,"Mount Jefferson 5","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,1,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.6958,-121.8698,1069,NA,NA,"66","Nearctic","Csb","Temperate mountain system","NAC","1697","Initiation of post-disturbance cohort (natural)","1697","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","2001",NA,NA,1.14,TRUE,6.2,11.7,0.4,58.12,23.6,-5,28.6,-0.2,13.9,13.9,-0.7,1708,286,23,63,814,119,119,760,68.5766081871345,188.421403508772,733.973684210526,125.840263157895
115,"Mt. Kinabalu, Q lower upland tropical forest","Takyu_2003_cibp",999,18325,"Mt. Kinabalu, Q lower","upland tropical forest","woody","2TEB","ANPP_litterfall","1998","1997","1999",4.371,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Malaysia",6.08,116.55,NA,18.3,2600,"NAC","IndoMalay","Af","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","1998","1997","1999",1.222,TRUE,6.7,7.6,0.7,10.04,12.7,1.9,10.8,5.7,7.5,8,5.4,2117,267,113,22,666,378,407,591,69.9540935672515,0,992.881578947368,236.417631578947
116,"Mt. Kinabalu, T lower upland tropical forest","Takyu_2003_cibp",999,18326,"Mt. Kinabalu, T lower","upland tropical forest","woody","2TEB","ANPP_litterfall","1998","1997","1999",3.807,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Malaysia",6.08,116.55,NA,18.3,2380,"NAC","IndoMalay","Af","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","1998","1997","1999",1.269,TRUE,6.7,7.6,0.7,10.04,12.7,1.9,10.8,5.7,7.5,8,5.4,2117,267,113,22,666,378,407,591,69.9540935672515,0,992.881578947368,236.417631578947
117,"Nacetin PO","Schulze_2000_tcan",58,9939,"Nacetin","PO","woody","2TEN","ANPP_foliage","1995",NA,NA,1.73,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Czech Republic",50.58,13.25,775,5.9,935,"348","Palearctic","Cfb","Temperate mountain system","NAC","1937","Planted","1937","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","1995",NA,NA,1.73,TRUE,5.2,6.9,0.27,65.35,18.5,-6.2,24.7,13.5,-2.4,13.5,-3.2,808,95,49,21,269,160,269,171,74.1869883040936,131.002894736842,667.074561403509,178.057894736842
118,"Nouragues Grand Plateau old-growth tropical forest.NOR2","Chave_2001_eobi",999,18299,"Nouragues Grand Plateau","old-growth tropical forest.NOR2","woody","2TEB","ANPP_litterfall","NI","NI","NI",4.6718,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","French Guiana",4.08,-52.67,110,26.06,3476,"575","Neotropics","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","NI","NI","NI",4.0702,TRUE,24.9,8.8,0.74,4.44,31.4,19.6,11.8,24.8,25.4,25.4,24.3,3329,503,78,47,1245,304,328,1054,62.8433479532164,0,1178.00789473684,210.031929824561
119,"Nouragues Petit Plateau old-growth tropical forest.NOR1","Chave_2001_eobi",999,18300,"Nouragues Petit Plateau","old-growth tropical forest.NOR1","woody","2TEB","ANPP_litterfall","NI","NI","NI",3.8822,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","French Guiana",4.08,-52.67,110,26.06,3476,"575","Neotropics","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","NI","NI","NI",3.7788,TRUE,24.9,8.8,0.74,4.44,31.4,19.6,11.8,24.8,25.4,25.4,24.3,3329,503,78,47,1245,304,328,1054,62.8433479532164,0,1178.00789473684,210.031929824561
120,"O site 50/250 yr","Law_2001_csaf",250,10268,"O site","50/250 yr","woody","2TEN","ANPP_foliage",NA,"1999","2000",0.76,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.5,-121.617,915,8,524,"366","Nearctic","Csb","Temperate mountain system","NAC","1749","NAC","NAC","No disturbance","NI",0,0,0,"temperate","ANPP_woody_stem",NA,"1999","2000",0.81,TRUE,7.3,14.6,0.44,61.95,27.1,-5.6,32.7,0.2,15.3,15.6,-0.2,780,130,15,60,371,67,68,347,66.8328947368421,205.400614035088,761.801754385965,121.594298245614
121,"Paracou B PAR-01","Malhi_2004_tacw",999,18301,"Paracou B","PAR-01","woody","2TEB","ANPP_litterfall","1990","1984","1995",3.901,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","French Guiana",5.16,-52.54,NA,26.3,3041,"NAC","Neotropic","Af",NA,"NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,NA,"ANPP_woody_stem","1990","1984","1995",1.9928,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.6521198830409,0,1245.64298245614,197.602105263158
122,"Paragominas Paragominas","Trumbore_1995_bcoc",999,18275,"Paragominas","Paragominas","woody","2TEB","ANPP_litterfall","1992","1992","1992",2.632,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-2.983333,-47.516667,NA,24.1,1750,"252","Neotropics","Am","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","1992","1992","1992",1.222,TRUE,26.3,10.2,0.87,2.86,32.3,20.6,11.7,26.1,26.4,26.7,26,1854,401,27,82,1046,99,161,973,76.1663742690059,0,1113.34649122807,271.246842105263
123,"Paragominas Paragominas","Trumbore_1995_bcoc",999,18275,"Paragominas","Paragominas","woody","2TEB","ANPP_litterfall","1992","1992","1992",2.632,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-2.983333,-47.516667,NA,24.1,1750,"252","Neotropics","Am","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","1992","1992","1992",1.222,TRUE,26.3,10.2,0.87,2.86,32.3,20.6,11.7,26.1,26.4,26.7,26,1854,401,27,82,1046,99,161,973,76.1663742690059,0,1113.34649122807,271.246842105263
124,"Paragominas Paragominas","Trumbore_1995_bcoc",999,18275,"Paragominas","Paragominas","woody","2TEB","ANPP_litterfall","1992","1992","1992",2.632,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-2.8,-47.52,NA,26.7,1750,"NAC","Neotropic","Am","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","1992","1992","1992",1.222,TRUE,26.6,10.1,0.86,3.09,32.7,21,11.7,26.3,26.8,27,26.3,1965,405,39,78,1062,127,172,1004,76.1663742690059,0,1113.34649122807,271.246842105263
125,"Paragominas Paragominas","Trumbore_1995_bcoc",999,18275,"Paragominas","Paragominas","woody","2TEB","ANPP_litterfall","1992","1992","1992",2.632,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-2.8,-47.52,NA,26.7,1750,"NAC","Neotropic","Am","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","1992","1992","1992",1.222,TRUE,26.6,10.1,0.86,3.09,32.7,21,11.7,26.3,26.8,27,26.3,1965,405,39,78,1062,127,172,1004,76.1663742690059,0,1113.34649122807,271.246842105263
126,"Paragominas unmanaged old growth tropical evergreen","Clark_2001_nppi",999,10737,"Paragominas","unmanaged old growth tropical evergreen","woody","2TEB","ANPP_litterfall","NI","NI","NI",4.277,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-2.983333,-47.516667,NA,24.1,1750,"252","Neotropics","Am","Tropical rainforest","0.7","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","NI","NI","NI",1.222,TRUE,26.3,10.2,0.87,2.86,32.3,20.6,11.7,26.1,26.4,26.7,26,1854,401,27,82,1046,99,161,973,76.1663742690059,0,1113.34649122807,271.246842105263
127,"Paragominas unmanaged old growth tropical evergreen","Clark_2001_nppi",999,10737,"Paragominas","unmanaged old growth tropical evergreen","woody","2TEB","ANPP_litterfall","NI","NI","NI",4.277,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-2.983333,-47.516667,NA,24.1,1750,"252","Neotropics","Am","Tropical rainforest","0.7","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","NI","NI","NI",1.222,TRUE,26.3,10.2,0.87,2.86,32.3,20.6,11.7,26.1,26.4,26.7,26,1854,401,27,82,1046,99,161,973,76.1663742690059,0,1113.34649122807,271.246842105263
128,"Paragominas unmanaged old growth tropical evergreen","Clark_2001_nppi",999,10737,"Paragominas","unmanaged old growth tropical evergreen","woody","2TEB","ANPP_litterfall","NI","NI","NI",4.277,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-2.8,-47.52,NA,26.7,1750,"NAC","Neotropic","Am","Tropical rainforest","0.7","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","NI","NI","NI",1.222,TRUE,26.6,10.1,0.86,3.09,32.7,21,11.7,26.3,26.8,27,26.3,1965,405,39,78,1062,127,172,1004,76.1663742690059,0,1113.34649122807,271.246842105263
129,"Paragominas unmanaged old growth tropical evergreen","Clark_2001_nppi",999,10737,"Paragominas","unmanaged old growth tropical evergreen","woody","2TEB","ANPP_litterfall","NI","NI","NI",4.277,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-2.8,-47.52,NA,26.7,1750,"NAC","Neotropic","Am","Tropical rainforest","0.7","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","NI","NI","NI",1.222,TRUE,26.6,10.1,0.86,3.09,32.7,21,11.7,26.3,26.8,27,26.3,1965,405,39,78,1062,127,172,1004,76.1663742690059,0,1113.34649122807,271.246842105263
130,"Podocarpus 1 unmanaged","Moser_2011_eeot",999,11083,"Podocarpus 1","unmanaged","woody","2TEB","ANPP_foliage",NA,"2003","2004",2.54,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-4.12,-78.97,1050,19.39999962,2230,"114","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem",NA,"2003","2004",1.37,TRUE,21.8,11.5,0.81,6.01,29.4,15.3,14.1,21.7,22.3,22.6,21,1772,201,112,16,537,379,392,402,73.506432748538,0.474210526315789,1667.45701754386,183.060350877193
131,"Podocarpus 2 unmanaged","Moser_2011_eeot",999,11100,"Podocarpus 2","unmanaged","woody","2TEB","ANPP_foliage",NA,"2003","2004",2.57,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-4.11,-78.97,1540,17.5,2300,"114","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem",NA,"2003","2004",0.77,TRUE,21.5,11.9,0.83,4.99,29.2,15,14.2,21.4,21,22.1,20.8,1603,189,105,20,511,334,357,346,73.506432748538,0.474210526315789,1667.45701754386,183.060350877193
132,"Podocarpus National Park 1 montane tropical forest.PNP1","Moser_2007_acil",999,18294,"Podocarpus National Park 1","montane tropical forest.PNP1","woody","2TEB","ANPP_litterfall","2003","2003","2004",3.6566,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-3.97,-79.1,NA,NA,1084,"114","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","2003","2003","2004",1.3254,TRUE,15.1,9.9,0.86,3.67,21.2,9.8,11.4,15.3,14.6,15.5,14.5,1127,137,64,22,376,220,262,241,74.8491228070176,72.205350877193,1457.06666666667,179.432105263158
133,"Podocarpus National Park 2 montane tropical forest.PNP2","Moser_2007_acil",999,18295,"Podocarpus National Park 2","montane tropical forest.PNP2","woody","2TEB","ANPP_litterfall","2003","2003","2004",3.4498,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-3.97,-79.1,NA,NA,1084,"114","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","2003","2003","2004",0.7426,TRUE,15.1,9.9,0.86,3.67,21.2,9.8,11.4,15.3,14.6,15.5,14.5,1127,137,64,22,376,220,262,241,74.8491228070176,72.205350877193,1457.06666666667,179.432105263158
134,"Podocarpus National Park 3 montane tropical forest.PNP3","Moser_2007_acil",999,18296,"Podocarpus National Park 3","montane tropical forest.PNP3","woody","2TEB","ANPP_litterfall","2003","2003","2004",3.9198,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-3.97,-79.1,NA,NA,1084,"114","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","2003","2003","2004",0.4089,TRUE,15.1,9.9,0.86,3.67,21.2,9.8,11.4,15.3,14.6,15.5,14.5,1127,137,64,22,376,220,262,241,74.8491228070176,72.205350877193,1457.06666666667,179.432105263158
135,"Podocarpus National Park 4 montane tropical forest.PNP4","Moser_2007_acil",999,18297,"Podocarpus National Park 4","montane tropical forest.PNP4","woody","2TEB","ANPP_litterfall","2003","2003","2004",1.7155,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-3.97,-79.1,NA,NA,1084,"114","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","2003","2003","2004",0.1034,TRUE,15.1,9.9,0.86,3.67,21.2,9.8,11.4,15.3,14.6,15.5,14.5,1127,137,64,22,376,220,262,241,74.8491228070176,72.205350877193,1457.06666666667,179.432105263158
136,"Podocarpus National Park 5 montane tropical forest.PNP5","Moser_2007_acil",999,18298,"Podocarpus National Park 5","montane tropical forest.PNP5","woody","2TEB","ANPP_litterfall","2003","2003","2004",1.269,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-3.97,-79.1,NA,NA,1084,"114","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","2003","2003","2004",0.0658,TRUE,15.1,9.9,0.86,3.67,21.2,9.8,11.4,15.3,14.6,15.5,14.5,1127,137,64,22,376,220,262,241,74.8491228070176,72.205350877193,1457.06666666667,179.432105263158
137,"Reserva Biologica San Francisco 1 unmanaged","Moser_2011_eeot",999,12352,"Reserva Biologica San Francisco 1","unmanaged","woody","2TEB","ANPP_foliage",NA,"2003","2004",2.51,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-3.98,-79.1,1890,15.69999981,1950,"114","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem",NA,"2003","2004",0.42,TRUE,16.5,10,0.82,3.93,22.9,10.8,12.1,16.7,16.7,16.8,15.8,1210,137,77,17,363,248,263,309,74.8491228070176,72.205350877193,1457.06666666667,179.432105263158
138,"Reserva Biologica San Francisco 2 unmanaged","Moser_2011_eeot",999,12369,"Reserva Biologica San Francisco 2","unmanaged","woody","2TEB","ANPP_foliage",NA,"2003","2004",1.34,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-3.99,-79.1,2380,13.19999981,5000,"114","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem",NA,"2003","2004",0.11,TRUE,15.9,9.9,0.83,3.65,22.2,10.4,11.8,16,15.8,16.3,15.3,1164,138,69,19,371,234,266,266,74.8491228070176,72.205350877193,1457.06666666667,179.432105263158
139,"Salero PPIB","Mosquera_2007_cdlc",999,18290,"Salero","PPIB","woody","2TEB","ANPP_litterfall","NRA","NRA","NRA",3.4545,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-5.32,-76.6,NA,23.7,6885,"NAC","Neotropic","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","NRA","NRA","NRA",4.7235,TRUE,26,9.3,0.82,3.48,31.6,20.3,11.3,25.9,25.5,26.4,25.5,2138,233,116,20,617,387,605,387,77.0354532163743,0,1555.90438596491,188.754473684211
140,"San Carlos de Rio Negro Species-rich Tierra Firme (Oxisols) unmanaged Mature terra firma","Jordan_1999_ntfs",999,18361,"San Carlos de Rio Negro Species-rich Tierra Firme (Oxisols)","unmanaged Mature terra firma","woody","2TEB","ANPP_litterfall","NI","NI","NI",4.8175,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Venezuela",1.93,-67.05,119,25.98,3500,"657","Neotropics","Af","Tropical rainforest","NAC","NAC","Initiation of post-disturbance cohort (natural)","1750","Burned","1750",0,0,0,"tropical","ANPP_woody_stem",NA,"1975","1983",2.36,TRUE,26.2,13.3,0.92,4.13,33.7,19.3,14.4,25.6,26.4,26.5,25.6,3432,399,197,23,1154,638,740,1154,70.6197368421053,0,1134.38596491228,232.585087719298
141,"San Carlos de Rio Negro Species-rich Tierra Firme (Oxisols) unmanaged Mature terra firma","Jordan_1999_ntfs",999,12939,"San Carlos de Rio Negro Species-rich Tierra Firme (Oxisols)","unmanaged Mature terra firma","woody","2TEB","ANPP_foliage",NA,"1975","1981",2.82,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Venezuela",1.93,-67.05,119,25.98,3500,"657","Neotropics","Af","Tropical rainforest","NAC","NAC","Initiation of post-disturbance cohort (natural)","1750","Burned","1750",0,0,0,"tropical","ANPP_woody_stem",NA,"1975","1983",2.36,TRUE,26.2,13.3,0.92,4.13,33.7,19.3,14.4,25.6,26.4,26.5,25.6,3432,399,197,23,1154,638,740,1154,70.6197368421053,0,1134.38596491228,232.585087719298
142,"San Carlos de Rio Negro Tall Caatinga mature tall caatinga natural forest","Cuevas_1986_ndwa",999,12975,"San Carlos de Rio Negro Tall Caatinga","mature tall caatinga natural forest","woody","2TEB","ANPP_litterfall",NA,"1980","1981",2.6367,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Venezuela",1.93,-67.05,117,26.2,3600,"657","Neotropics","Af","Tropical rainforest","0.13","NI","NI","NI","NI","NI",0,0,1,"tropical","ANPP_woody_stem","NI","NI","NI",1.53,TRUE,26.2,13.3,0.92,4.13,33.7,19.3,14.4,25.6,26.4,26.5,25.6,3432,399,197,23,1154,638,740,1154,70.6197368421053,0,1134.38596491228,232.585087719298
143,"San Carlos de Rio Negro Tall Caatinga mature tall caatinga natural forest","Cuevas_1986_ndwa",999,12976,"San Carlos de Rio Negro Tall Caatinga","mature tall caatinga natural forest","woody","2TEB","ANPP_foliage",NA,"1980","1981",1.8753,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Venezuela",1.93,-67.05,117,26.2,3600,"657","Neotropics","Af","Tropical rainforest","0.13","NI","NI","NI","NI","NI",0,0,1,"tropical","ANPP_woody_stem","NI","NI","NI",1.53,TRUE,26.2,13.3,0.92,4.13,33.7,19.3,14.4,25.6,26.4,26.5,25.6,3432,399,197,23,1154,638,740,1154,70.6197368421053,0,1134.38596491228,232.585087719298
144,"San Eusebio ""Primary"" (some selective cutting in the area) Montane","Grimm_1981_cbeu",999,18542,"San Eusebio","""Primary"" (some selective cutting in the area) Montane","woody","2TEB","ANPP_litterfall","1983","1983","1984",2.021,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Venezuela",8.62,-71.35,2500,13.95,1476.5,"670","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","NAC","NAC",0,1,0,"tropical","ANPP_woody_stem","NRA","NRA","NRA",1.88,TRUE,13.7,11.4,0.82,4.48,20,6.1,13.9,13.8,13.2,14,13,1321,176,26,48,471,95,390,131,74.0769005847953,0.0857017543859649,1022.85526315789,176.740526315789
145,"San Pedro unmanaged upland tropical forest","Girardin_2010_nppa",999,13020,"San Pedro","unmanaged upland tropical forest","woody","2TEB","ANPP_foliage",NA,"2007","2008",2.76,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.05,-71.54,1500,18.8,2631,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem","2005","2003","2007",1.5228,TRUE,21.1,13,0.79,7.45,29.1,12.8,16.3,21.2,20.1,21.8,20,2518,372,92,47,1039,292,715,303,59.6845029239766,87.1179824561404,1106.25964912281,110.999912280702
146,"San Pedro unmanaged upland tropical forest","Girardin_2010_nppa",999,13020,"San Pedro","unmanaged upland tropical forest","woody","2TEB","ANPP_foliage",NA,"2007","2008",2.76,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.05,-71.54,1500,18.8,2631,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem",NA,"2007","2008",1.62,TRUE,21.1,13,0.79,7.45,29.1,12.8,16.3,21.2,20.1,21.8,20,2518,372,92,47,1039,292,715,303,59.6845029239766,87.1179824561404,1106.25964912281,110.999912280702
147,"San Pedro unmanaged upland tropical forest","Girardin_2010_nppa",999,18341,"San Pedro","unmanaged upland tropical forest","woody","2TEB","ANPP_litterfall","2005","2003","2007",2.5944,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.05,-71.54,1500,18.8,2631,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem","2005","2003","2007",1.5228,TRUE,21.1,13,0.79,7.45,29.1,12.8,16.3,21.2,20.1,21.8,20,2518,372,92,47,1039,292,715,303,59.6845029239766,87.1179824561404,1106.25964912281,110.999912280702
148,"San Pedro unmanaged upland tropical forest","Girardin_2010_nppa",999,18341,"San Pedro","unmanaged upland tropical forest","woody","2TEB","ANPP_litterfall","2005","2003","2007",2.5944,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.05,-71.54,1500,18.8,2631,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem",NA,"2007","2008",1.62,TRUE,21.1,13,0.79,7.45,29.1,12.8,16.3,21.2,20.1,21.8,20,2518,372,92,47,1039,292,715,303,59.6845029239766,87.1179824561404,1106.25964912281,110.999912280702
149,"Sebulu tropical lowland evergreen dipterocarp rainforest","Yamakura_1986_tsia",999,18307,"Sebulu","tropical lowland evergreen dipterocarp rainforest","woody","2TEB","ANPP_litterfall","1980","1980","1980",2.679,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Indonesia",-0.27,116.97,70,27,1862,"696","IndoMalay","Af","Tropical rainforest","NAC","NAC","NAC","NAC","NAC","NAC",0,0,1,"tropical","ANPP_woody_stem","1980","1980","1980",4.935,TRUE,26.7,6.9,0.9,2.02,30.6,23,7.6,26.8,26.4,26.8,26.4,1980,239,110,24,612,340,556,340,66.7265350877193,0,1286.16666666667,210.809473684211
