,site_plot,citation.ID,stand.age,date,measurement.ID,sites.sitename,plot.name,dominant.life.form,dominant.veg,variable.name.x,start.date.x,end.date.x,ANPP_canopy,min.dbh,required.citations,ForC.investigator,country,lat,lon,masl,mat,map,geographic.area,biogeog,Koeppen,FAO.ecozone,managed,disturbed,history.no.info,optional,AnnualMeanTemp,MeanDiurnalRange,TempSeasonality,TempRangeAnnual,AnnualPre,PreSeasonality,CloudCover,AnnualFrostDays,AnnualPET,AnnualWetDays,VapourPressure,SolarRadiation,biomes,ANPP_woody,ANPP_1
153,Willow Creek AE 2 NI,Martin_2005_asri,80,NA,16508,Willow Creek AE 2,NI,woody,2TDB,ANPP_foliage,1998,2001,2.93,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,45.48,-90.08,480,NA,NA,793,North America,Dfb,Temperate continental forest,0,0,0,TRUE,4.2,12.3,111.2,44.8,813,45,64.90511696,188.744386,752.4307018,123.0825439,0.079250001,453019.8,temperate,3.28,6.22
154,Willow Creek AF 1 NI,Martin_2005_asri,62,NA,16513,Willow Creek AF 1,NI,woody,2TREE,ANPP_foliage,1998,2001,3.2,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,45.48,-90.08,480,NA,NA,793,North America,Dfb,Temperate continental forest,0,0,0,TRUE,4.2,12.3,111.2,44.8,813,45,64.90511696,188.744386,752.4307018,123.0825439,0.079250001,453019.8,temperate,3.35,6.56
155,Willow Creek AF 2 NI,Martin_2005_asri,56,NA,16518,Willow Creek AF 2,NI,woody,2TREE,ANPP_foliage,1998,2001,3.02,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,45.48,-90.08,480,NA,NA,793,North America,Dfb,Temperate continental forest,0,0,0,TRUE,4.2,12.3,111.2,44.8,813,45,64.90511696,188.744386,752.4307018,123.0825439,0.079250001,453019.8,temperate,2.45,5.48
156,Willow Creek NH 1 NI,Martin_2005_asri,66,NA,16549,Willow Creek NH 1,NI,woody,2TDB,ANPP_foliage,1998,2001,2.59,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,45.48,-90.08,480,NA,NA,793,North America,Dfb,Temperate continental forest,0,0,0,TRUE,4.2,12.3,111.2,44.8,813,45,64.90511696,188.744386,752.4307018,123.0825439,0.079250001,453019.8,temperate,2.61,5.21
157,Willow Creek NH 2 NI,Martin_2005_asri,66,NA,16554,Willow Creek NH 2,NI,woody,2TDB,ANPP_foliage,1998,2001,3.02,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,45.48,-90.08,480,NA,NA,793,North America,Dfb,Temperate continental forest,0,0,0,TRUE,4.2,12.3,111.2,44.8,813,45,64.90511696,188.744386,752.4307018,123.0825439,0.079250001,453019.8,temperate,2.99,6.01
158,Willow Creek NH 3 NI,Martin_2005_asri,66,NA,16559,Willow Creek NH 3,NI,woody,2TDB,ANPP_foliage,1998,2001,2.97,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,45.48,-90.08,480,NA,NA,793,North America,Dfb,Temperate continental forest,0,0,0,TRUE,4.2,12.3,111.2,44.8,813,45,64.90511696,188.744386,752.4307018,123.0825439,0.079250001,453019.8,temperate,2.42,5.4
159,Willow Creek NH 4 NI,Martin_2005_asri,66,NA,16564,Willow Creek NH 4,NI,woody,2TDB,ANPP_foliage,1998,2001,2.61,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,45.48,-90.08,480,NA,NA,793,North America,Dfb,Temperate continental forest,0,0,0,TRUE,4.2,12.3,111.2,44.8,813,45,64.90511696,188.744386,752.4307018,123.0825439,0.079250001,453019.8,temperate,1.9,4.52
160,Wind River Canopy Crane old-growth douglas fir and western hemlock,Harmon_2004_prao,499,1999,16592,Wind River Canopy Crane,old-growth douglas fir and western hemlock,woody,2TEN,ANPP_foliage,NA,NA,1.5,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,45.82,-121.95,355,8.9,3725.5,439,North America,Csb,Temperate mountain system,0,0,0,TRUE,9.5,10.6,57.42,27,2558,72,69.92222222,150.8545614,782.7289474,126.1209649,0.084999999,468461.8,temperate,1.22,2.72
161,Wooroonooran National Park Basalt,Gleason_2010_ssad,999,2006,18264,Wooroonooran National Park,Basalt,woody,2TREE,ANPP_litterfall,2005,2007,3.055,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Australia,-17.37,145.74,NA,22,4360,NAC,Australia,Cfa,Tropical rainforest,0,0,0,TRUE,20.6,9.8,27.22,17.7,2574,73,42.20394737,0.015438596,1405.345614,145.0707018,0.195583333,703966.4,tropical,7.755,10.81
162,Wooroonooran National Park Schist,Gleason_2010_ssad,999,2006,18265,Wooroonooran National Park,Schist,woody,2TREE,ANPP_litterfall,2005,2007,2.961,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Australia,-17.37,145.74,NA,22,4360,NAC,Australia,Cfa,Tropical rainforest,0,0,0,TRUE,20.6,9.8,27.22,17.7,2574,73,42.20394737,0.015438596,1405.345614,145.0707018,0.195583333,703966.4,tropical,7.285,10.246
163,Yapo (Plateau) Mature,DeAngelis_1981_pofe,999,NI,18293,Yapo (Plateau),Mature,woody,2TEB,ANPP_litterfall,NI,NI,4.512,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Cote D'Ivoire,5.7,-4.1,70,NA,1739,60,Africa,Aw,Tropical rainforest,0,0,1,TRUE,26.3,8.1,11.14,11.6,1607,58,75.33274854,0,1160.092105,136.6067544,0.282250001,631391.6,tropical,2.4393,6.956
164,"Yenisei 138lm moderately burned Pinus sylvestris stand, lichen understory",Wirth_2002_babc,138,NA,17089,Yenisei 138lm,"moderately burned Pinus sylvestris stand, lichen understory",woody,2TEN,ANPP_foliage,1998,2000,0.47,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Russia,60.72,89.13,90,-3.7,565,426,Asia,Dfc,Boreal coniferous forest,0,1,0,TRUE,-2.8,10.8,144.69,52.8,564,33,73.24780702,234.3824561,467.6333333,201.7973684,0.0525,368355.7,boreal,0.94,1.41
165,"Yenisei 200lm moderately burned Pinus sylvestris stand, lichen understory",Wirth_2002_babc,200,NA,17117,Yenisei 200lm,"moderately burned Pinus sylvestris stand, lichen understory",woody,2TEN,ANPP_foliage,1998,2000,0.44,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Russia,60.72,89.13,90,-3.7,565,426,Asia,Dfc,Boreal coniferous forest,0,1,0,TRUE,-2.8,10.8,144.69,52.8,564,33,73.24780702,234.3824561,467.6333333,201.7973684,0.0525,368355.7,boreal,0.27,0.71
166,"Yenisei 204lm moderately burned Pinus sylvestris stand, lichen understory",Wirth_2002_babc,204,NA,17127,Yenisei 204lm,"moderately burned Pinus sylvestris stand, lichen understory",woody,2TEN,ANPP_foliage,1998,2000,0.4,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Russia,60.72,89.13,90,-3.7,565,426,Asia,Dfc,Boreal coniferous forest,0,1,0,TRUE,-2.8,10.8,144.69,52.8,564,33,73.24780702,234.3824561,467.6333333,201.7973684,0.0525,368355.7,boreal,0.44,0.84
167,"Yenisei 215lh heavily burned Pinus sylvestris stand, lichen understory",Wirth_2002_babc,215,NA,17137,Yenisei 215lh,"heavily burned Pinus sylvestris stand, lichen understory",woody,2TEN,ANPP_foliage,1998,2000,0.45,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Russia,60.72,89.13,90,-3.7,565,426,Asia,Dfc,Boreal coniferous forest,0,1,0,TRUE,-2.8,10.8,144.69,52.8,564,33,73.24780702,234.3824561,467.6333333,201.7973684,0.0525,368355.7,boreal,0.25,0.7
168,"Yenisei 383lm moderately burned Pinus sylvestris stand, lichen understory",Wirth_2002_babc,383,NA,17175,Yenisei 383lm,"moderately burned Pinus sylvestris stand, lichen understory",woody,2TEN,ANPP_foliage,1998,2000,0.56,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Russia,60.72,89.13,90,-3.7,565,426,Asia,Dfc,Boreal coniferous forest,0,1,0,TRUE,-2.8,10.8,144.69,52.8,564,33,73.24780702,234.3824561,467.6333333,201.7973684,0.0525,368355.7,boreal,0.52,1.08
169,"Yenisei 53vm moderately burned Pinus sylvestris stand, mosses+Vaccinum understory",Wirth_2002_babc,53,NA,17195,Yenisei 53vm,"moderately burned Pinus sylvestris stand, mosses+Vaccinum understory",woody,2TEN,ANPP_foliage,1998,2000,1.1,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Russia,60.72,89.13,90,-3.7,565,426,Asia,Dfc,Boreal coniferous forest,0,1,0,TRUE,-2.8,10.8,144.69,52.8,564,33,73.24780702,234.3824561,467.6333333,201.7973684,0.0525,368355.7,boreal,1.58,2.68
170,"Yenisei 67lm moderately burned Pinus sylvestris stand, lichen understory",Wirth_2002_babc,67,NA,17205,Yenisei 67lm,"moderately burned Pinus sylvestris stand, lichen understory",woody,2TEN,ANPP_foliage,1998,2000,0.55,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Russia,60.72,89.13,90,-3.7,565,426,Asia,Dfc,Boreal coniferous forest,0,1,0,TRUE,-2.8,10.8,144.69,52.8,564,33,73.24780702,234.3824561,467.6333333,201.7973684,0.0525,368355.7,boreal,1.22,1.77
171,"Yenisei 95vm moderately burned Pinus sylvestris stand, mosses+Vaccinum understory",Wirth_2002_babc,95,NA,17225,Yenisei 95vm,"moderately burned Pinus sylvestris stand, mosses+Vaccinum understory",woody,2TEN,ANPP_foliage,1998,2000,0.59,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Russia,60.72,89.13,90,-3.7,565,426,Asia,Dfc,Boreal coniferous forest,0,1,0,TRUE,-2.8,10.8,144.69,52.8,564,33,73.24780702,234.3824561,467.6333333,201.7973684,0.0525,368355.7,boreal,1.04,1.63
